texto_original,texto,classe
Mercado Livre não está dando prêmios por PIX em promoção de Dia das Mães via WhatsApp,Mercado livre está dando prêmios por pix em promoção de dia das mães via whatsapp,fake
Golpe cita que Mercado Livre dá presente de aniversário no Pix em raspadinha online,Mercado livre dá presente de aniversário no pix em raspadinha online,fake
É falso que a Receita Federal cobrou Imposto de Renda de pai que mandava R$ 1.500 de Pix para a filha todos os meses,A receita federal cobrou imposto de renda de pai que mandava r$ 1.500 de pix para a filha todos os meses,fake
Golpe cita que último aviso da Receita Federal do IRPF 2025/2026 diz que Pix será cancelado se taxa não for paga,Último aviso da receita federal do irpf 2025/2026 diz que pix será cancelado se taxa não for paga,fake
É falso que Flávio Bolsonaro vá acabar com o Pix se for eleito como presidente,Flávio bolsonaro vá acabar com o pix se for eleito como presidente,fake

Golpe cita que Caixa está dando bilhetes grátis de raspadinha que paga em Pix na hora,Caixa está dando bilhetes grátis de raspadinha que paga em pix na hora,fake
"Fake news sobre imposto de 27,5% sobre Pix acima de R$ 5 mil em 2026 circula novamente na internet",Imposto de 27.5% sobre pix acima de r$ 5 mil em 2026,fake
Golpe que aponta para promoção de Natal da Coca-Cola com PIX e raspadinha circula no WhatsApp,Promoção de natal da coca-cola com pix e raspadinha,fake
Novo alerta! Golpe do Pix na entrega: a fraude que rouba seu dinheiro com falsa cobrança de frete na Black Friday,Golpe do pix na entrega: a fraude que rouba seu dinheiro com falsa cobrança de frete na black friday,fake
"É falso que o governo vai cobrar imposto de 27,5% em Pix acima de R$ 5 mil a partir de janeiro de 2026","O governo vai cobrar imposto de 27,5% em pix acima de r$ 5 mil a partir de janeiro de 2026",fake
Todos os cassinos Pix não são confiáveis?,Todos os cassinos pix não são confiáveis?,fake
Fake news sobre “golpe da vacina e do Pix” volta a circular em 2025,“golpe da vacina e do pix” volta a circular em 2025,fake
Novo golpe de “aplicativo de avaliação” fala sobre um tal Pix My Dollar,Novo golpe de “aplicativo de avaliação” fala sobre um tal pix my dollar,fake
